record_id,label,t_start,signal_std,signal_iqr,derivative_mad,hf_noise_ratio,baseline_ratio,clipping_fraction,n_peaks,median_prominence,prominence_iqr,template_corr,detector_count_agreement,beat_f1
mimic_perform_af_001,AF,0.0,0.09591810769055822,0.15444770283480003,0.0029325513196479247,0.00029841518633648336,0.025307698763817894,0.0016,44,2.9259532448814114,0.9292550131168253,0.9934268834888971,0.9772727272727273,0.7555555555555555
mimic_perform_af_001,AF,10.0,0.10406844862163264,0.16813294232649106,0.002932551319646981,0.0003168785005846326,0.021768071425018645,0.0018666666666666666,45,3.005393445152995,1.0931038793027552,0.9953370778456502,0.9777777777777777,0.7912087912087912
mimic_perform_af_001,AF,20.0,0.11727258606728916,0.185728250244379,0.0029325513196489794,0.0004233731091222384,0.045808508481420776,0.0016,44,2.8312076543547207,1.6132633859179042,0.9948944066527059,0.9772727272727273,0.795698924731183
mimic_perform_af_001,AF,30.0,0.12359862220530586,0.19452590420332405,0.0029325513196489794,0.0006103041694523995,0.05677184984480618,0.0018666666666666666,45,2.8315817634135634,1.4673577018970372,0.9948502219438614,0.9777777777777777,0.7692307692307693
mimic_perform_af_001,AF,40.0,0.12500202616190936,0.192570869990225,0.0029325513196489794,0.0007374123036520309,0.06490591392381564,0.0018666666666666666,45,2.6370275791150313,1.599487620879909,0.9910224171246318,0.9555555555555556,0.7692307692307693
mimic_perform_af_001,AF,50.0,0.11758179364555166,0.18841642228739047,0.00293255131964798,0.0005709778980156159,0.033952329908391095,0.0018666666666666666,43,2.7258721495559226,1.0899906409624949,0.9915770882272293,1.0,0.6818181818181818
mimic_perform_af_001,AF,60.0,0.11228835350882038,0.181818181818182,0.0029325513196489794,0.0004510224339225416,0.0226854734800321,0.0021333333333333334,45,2.685649495375287,1.1603637400674285,0.985321149522717,1.0,0.7912087912087912
mimic_perform_af_001,AF,70.0,0.11526292645847262,0.19159335288367502,0.003910068426197011,0.00039578515051622454,0.028926620425737105,0.0010666666666666667,47,2.701119283152778,1.2313266347149887,0.9820050320463396,0.9787234042553191,0.8210526315789474
mimic_perform_af_001,AF,80.0,0.1114376811886105,0.17986314760508298,0.0029325513196489794,0.0004233751158533246,0.028934770372336827,0.0010666666666666667,47,2.748360342019824,1.2298387988983195,0.9839401343478293,0.9787234042553191,0.8387096774193549
mimic_perform_af_001,AF,90.0,0.109116190615343,0.17204301075268807,0.0029325513196489794,0.0003847171308185618,0.03820240776081264,0.0018666666666666666,47,2.500321299928056,1.446667612349414,0.9846142892270963,0.9787234042553191,0.7872340425531915
mimic_perform_af_001,AF,100.0,0.11152801364603905,0.17277614858259982,0.003910068426196012,0.00037891508293788915,0.03525423843613054,0.0018666666666666666,46,2.5108684490328876,1.3662914258198808,0.9910373767286148,0.9782608695652174,0.782608695652174
mimic_perform_af_001,AF,110.0,0.11827943143676141,0.189638318670577,0.003910068426196955,0.00041720695769996224,0.026182876516184776,0.0018666666666666666,47,2.828666684394295,1.273406114995896,0.9925694506275333,1.0,0.8936170212765957
